paiva,suunnitellut,ajetut,ajamatta,luotettavuus,Nobina Finland,Koiviston Auto,Pohjolan Liikenne,Tammelundin Liikenne
2026-02-15,11623,11550,73,99.37,99.52,98.94,99.44,100.0
2026-02-15,11623,11550,73,99.37,99.52,98.94,99.44,100.0
2026-02-16,19154,18803,351,98.17,99.68,98.23,95.7,100.0
2026-02-16,19154,18803,351,98.17,99.68,98.23,95.7,100.0
2026-02-17,19153,18871,282,98.53,99.17,99.29,96.54,100.0
2026-02-17,19153,18871,282,98.53,99.17,99.29,96.54,100.0
2026-02-18,19154,18914,240,98.75,99.46,99.17,97.29,100.0
2026-02-18,19154,18914,240,98.75,99.46,99.17,97.29,100.0
2026-02-19,19154,18946,208,98.91,99.13,99.56,97.69,100.0
2026-02-19,19154,18946,208,98.91,99.13,99.56,97.69,100.0
2026-02-20,19575,19351,224,98.86,99.25,99.59,97.34,100.0
2026-02-21,14022,13949,73,99.48,99.19,99.84,99.38,100.0
2026-02-22,11623,11565,58,99.5,99.03,99.63,99.82,100.0
2026-02-23,19662,19285,377,98.08,99.01,99.17,95.65,100.0
2026-02-24,19662,19385,277,98.59,99.2,99.48,96.84,100.0
2026-02-25,19675,19462,213,98.92,99.29,99.6,97.7,99.22
2026-02-26,19675,19350,325,98.35,98.95,99.39,96.2,100.0
2026-02-27,20087,19849,238,98.82,99.22,99.07,97.77,99.92
2026-02-28,14000,13909,91,99.35,99.5,98.86,99.45,100.0
2026-03-01,11597,11528,69,99.41,99.28,99.0,99.79,100.0
2026-03-02,19672,19457,215,98.91,99.53,99.52,97.3,100.0
2026-03-03,19673,19298,375,98.09,99.57,98.26,95.74,100.0
2026-03-04,19673,19395,278,98.59,99.35,99.33,96.7,99.91
2026-03-05,19662,19460,202,98.97,99.25,99.46,98.04,100.0
2026-03-06,20091,19849,242,98.8,99.33,98.86,97.75,99.92
2026-03-07,14002,13895,107,99.24,99.34,98.83,99.28,100.0
2026-03-08,11597,11516,81,99.3,99.37,99.37,98.96,100.0
2026-03-09,19672,19456,216,98.9,98.86,99.41,98.16,100.0
2026-03-10,19673,19468,205,98.96,98.89,99.48,98.28,100.0
